session_id,step_id,seq,timestamp_ms,datetime,mode,tx_mob,tx_sta,rssi_mob,rssi_sta,source,status
20260709_064650,1,0,0,2026-07-09 06:46:50,WIFI,2,5,,-73.6,STA,OK
20260709_064650,1,1,200,2026-07-09 06:46:50.200000,WIFI,2,5,-72.6,-73.1,STA,OK
20260709_064650,1,2,400,2026-07-09 06:46:50.400000,WIFI,2,5,-72.4,-70.1,STA,OK
20260709_064650,1,3,600,2026-07-09 06:46:50.600000,WIFI,2,5,-66.8,-73.1,STA,OK
20260709_064650,1,4,800,2026-07-09 06:46:50.800000,WIFI,2,5,-68.3,-73.1,STA,OK
20260709_064650,1,5,1000,2026-07-09 06:46:51,WIFI,2,5,-70.9,-68.6,STA,OK
20260709_064650,1,6,1200,2026-07-09 06:46:51.200000,WIFI,2,5,-65.5,-71.8,STA,OK
20260709_064650,1,7,1400,2026-07-09 06:46:51.400000,WIFI,2,5,-69.6,-67.7,STA,OK
20260709_064650,1,8,1600,2026-07-09 06:46:51.600000,WIFI,2,5,-65.6,-69.3,STA,OK
20260709_064650,1,9,1800,2026-07-09 06:46:51.800000,WIFI,2,5,-69.9,-72.2,STA,OK
20260709_064650,1,10,2000,2026-07-09 06:46:52,WIFI,2,5,-66.9,-66.8,STA,OK
20260709_064650,1,11,2200,2026-07-09 06:46:52.200000,WIFI,2,5,-69.7,-71.2,STA,OK
20260709_064650,1,12,2400,2026-07-09 06:46:52.400000,WIFI,2,5,-66.5,-67.2,STA,OK
20260709_064650,1,13,2600,2026-07-09 06:46:52.600000,WIFI,2,5,-66.4,-70.7,STA,OK
20260709_064650,1,14,2800,2026-07-09 06:46:52.800000,WIFI,2,5,-67.0,-72.6,STA,OK
20260709_064650,1,15,3000,2026-07-09 06:46:53,WIFI,2,5,-67.7,-73.7,STA,OK
20260709_064650,1,16,3200,2026-07-09 06:46:53.200000,WIFI,2,5,-65.3,-72.4,STA,OK
20260709_064650,1,17,3400,2026-07-09 06:46:53.400000,WIFI,2,5,-67.0,-72.3,STA,OK
20260709_064650,1,18,3600,2026-07-09 06:46:53.600000,WIFI,2,5,-68.4,-72.2,STA,OK
20260709_064650,1,19,3800,2026-07-09 06:46:53.800000,WIFI,2,5,-70.7,-73.6,STA,OK
20260709_064650,1,20,4000,2026-07-09 06:46:54,WIFI,2,5,-68.1,-73.7,STA,OK
20260709_064650,1,21,4200,2026-07-09 06:46:54.200000,WIFI,2,5,-67.7,-75.7,STA,OK
20260709_064650,1,22,4400,2026-07-09 06:46:54.400000,WIFI,2,5,-67.1,-71.5,STA,OK
20260709_064650,1,23,4600,2026-07-09 06:46:54.600000,WIFI,2,5,-72.3,-75.0,STA,OK
20260709_064650,1,24,4800,2026-07-09 06:46:54.800000,WIFI,2,5,-72.6,-77.4,STA,OK
20260709_064650,1,25,5000,2026-07-09 06:46:55,WIFI,2,5,-71.5,-71.4,STA,OK
20260709_064650,1,26,5200,2026-07-09 06:46:55.200000,WIFI,2,5,-68.8,-78.3,STA,OK
20260709_064650,1,27,5400,2026-07-09 06:46:55.400000,WIFI,2,5,-68.7,-73.3,STA,OK
20260709_064650,1,28,5600,2026-07-09 06:46:55.600000,WIFI,2,5,-69.0,-74.6,STA,OK
20260709_064650,1,29,5800,2026-07-09 06:46:55.800000,WIFI,2,5,-69.4,-77.8,STA,OK
20260709_064650,1,30,6000,2026-07-09 06:46:56,WIFI,2,5,-74.1,-76.6,STA,OK
20260709_064650,1,31,6200,2026-07-09 06:46:56.200000,WIFI,2,5,-75.3,-79.3,STA,OK
20260709_064650,1,32,6400,2026-07-09 06:46:56.400000,WIFI,2,5,-74.0,-73.8,STA,OK
20260709_064650,1,33,6600,2026-07-09 06:46:56.600000,WIFI,2,5,-75.1,-78.5,STA,OK
20260709_064650,1,34,6800,2026-07-09 06:46:56.800000,WIFI,2,5,-74.2,-77.6,STA,OK
20260709_064650,1,35,7000,2026-07-09 06:46:57,WIFI,2,5,-73.1,-77.7,STA,OK
20260709_064650,1,36,7200,2026-07-09 06:46:57.200000,WIFI,2,5,-75.5,-78.3,STA,OK
20260709_064650,1,37,7400,2026-07-09 06:46:57.400000,WIFI,2,5,-74.5,-71.3,STA,OK
20260709_064650,1,38,7600,2026-07-09 06:46:57.600000,WIFI,2,5,-73.5,-72.5,STA,OK
20260709_064650,1,39,7800,2026-07-09 06:46:57.800000,WIFI,2,5,-71.2,-74.2,STA,OK
20260709_064650,2,40,8000,2026-07-09 06:46:58,WIFI,2,5,-67.6,-79.5,STA,OK
20260709_064650,2,41,8200,2026-07-09 06:46:58.200000,WIFI,2,5,-73.8,-73.0,STA,OK
20260709_064650,2,42,8400,2026-07-09 06:46:58.400000,WIFI,2,5,-74.5,-78.6,STA,OK
20260709_064650,2,43,8600,2026-07-09 06:46:58.600000,WIFI,2,5,-72.3,-76.9,STA,OK
20260709_064650,2,44,8800,2026-07-09 06:46:58.800000,WIFI,2,5,-73.7,-76.9,STA,OK
20260709_064650,2,45,9000,2026-07-09 06:46:59,WIFI,2,5,-68.8,-73.6,STA,OK
20260709_064650,2,46,9200,2026-07-09 06:46:59.200000,WIFI,2,5,-68.0,-70.8,STA,OK
20260709_064650,2,47,9400,2026-07-09 06:46:59.400000,WIFI,2,5,-71.3,-71.6,STA,OK
20260709_064650,2,48,9600,2026-07-09 06:46:59.600000,WIFI,2,5,-68.3,-75.0,STA,OK
20260709_064650,2,49,9800,2026-07-09 06:46:59.800000,WIFI,2,5,-72.9,-69.8,STA,OK
20260709_064650,2,50,10000,2026-07-09 06:47:00,WIFI,2,5,-67.0,-70.5,STA,OK
20260709_064650,2,51,10200,2026-07-09 06:47:00.200000,WIFI,2,5,-68.5,-72.3,STA,OK
20260709_064650,2,52,10400,2026-07-09 06:47:00.400000,WIFI,2,5,-67.3,-74.1,STA,OK
20260709_064650,2,53,10600,2026-07-09 06:47:00.600000,WIFI,2,5,-68.2,-75.5,STA,OK
20260709_064650,2,54,10800,2026-07-09 06:47:00.800000,WIFI,2,5,-66.3,-71.4,STA,OK
20260709_064650,2,55,11000,2026-07-09 06:47:01,WIFI,2,5,-66.4,-75.4,STA,OK
20260709_064650,2,56,11200,2026-07-09 06:47:01.200000,WIFI,2,5,-67.0,-76.1,STA,OK
20260709_064650,2,57,11400,2026-07-09 06:47:01.400000,WIFI,2,5,-68.8,-72.8,STA,OK
20260709_064650,2,58,11600,2026-07-09 06:47:01.600000,WIFI,2,5,-69.3,-75.6,STA,OK
20260709_064650,2,59,11800,2026-07-09 06:47:01.800000,WIFI,2,5,-67.6,-77.4,STA,OK
20260709_064650,2,60,12000,2026-07-09 06:47:02,WIFI,2,5,-68.0,-72.2,STA,OK
