session_id,step_id,seq,timestamp_ms,datetime,mode,tx_mob,tx_sta,rssi_mob,rssi_sta,source,status
20260709_064650,1,0,0,2026-07-09 06:46:50,WIFI,2,5,,-40.7,STA,OK
20260709_064650,1,1,200,2026-07-09 06:46:50.200000,WIFI,2,5,-31.4,-35.4,STA,OK
20260709_064650,1,2,400,2026-07-09 06:46:50.400000,WIFI,2,5,-31.8,-35.9,STA,OK
20260709_064650,1,3,600,2026-07-09 06:46:50.600000,WIFI,2,5,-35.0,-38.6,STA,OK
20260709_064650,1,4,800,2026-07-09 06:46:50.800000,WIFI,2,5,-32.7,-34.3,STA,OK
20260709_064650,1,5,1000,2026-07-09 06:46:51,WIFI,2,5,-33.6,-35.2,STA,OK
20260709_064650,1,6,1200,2026-07-09 06:46:51.200000,WIFI,2,5,-29.4,-38.4,STA,OK
20260709_064650,1,7,1400,2026-07-09 06:46:51.400000,WIFI,2,5,-33.8,-36.2,STA,OK
20260709_064650,1,8,1600,2026-07-09 06:46:51.600000,WIFI,2,5,-32.2,-34.6,STA,OK
20260709_064650,1,9,1800,2026-07-09 06:46:51.800000,WIFI,2,5,-29.0,-38.0,STA,OK
20260709_064650,1,10,2000,2026-07-09 06:46:52,WIFI,2,5,-33.5,-34.5,STA,OK
20260709_064650,1,11,2200,2026-07-09 06:46:52.200000,WIFI,2,5,-34.1,-36.8,STA,OK
20260709_064650,1,12,2400,2026-07-09 06:46:52.400000,WIFI,2,5,-30.3,-33.0,STA,OK
20260709_064650,1,13,2600,2026-07-09 06:46:52.600000,WIFI,2,5,-29.6,-32.7,STA,OK
20260709_064650,1,14,2800,2026-07-09 06:46:52.800000,WIFI,2,5,-29.9,-31.7,STA,OK
20260709_064650,1,15,3000,2026-07-09 06:46:53,WIFI,2,5,-28.6,-33.7,STA,OK
20260709_064650,1,16,3200,2026-07-09 06:46:53.200000,WIFI,2,5,-30.5,-35.6,STA,OK
20260709_064650,1,17,3400,2026-07-09 06:46:53.400000,WIFI,2,5,-32.3,-33.6,STA,OK
20260709_064650,1,18,3600,2026-07-09 06:46:53.600000,WIFI,2,5,-32.9,-33.5,STA,OK
20260709_064650,1,19,3800,2026-07-09 06:46:53.800000,WIFI,2,5,-30.6,-33.8,STA,OK
20260709_064650,1,20,4000,2026-07-09 06:46:54,WIFI,2,5,-33.3,-39.1,STA,OK
20260709_064650,1,21,4200,2026-07-09 06:46:54.200000,WIFI,2,5,-34.3,-40.0,STA,OK
20260709_064650,1,22,4400,2026-07-09 06:46:54.400000,WIFI,2,5,-33.2,-35.2,STA,OK
20260709_064650,1,23,4600,2026-07-09 06:46:54.600000,WIFI,2,5,-36.7,-37.1,STA,OK
20260709_064650,1,24,4800,2026-07-09 06:46:54.800000,WIFI,2,5,-32.3,-37.9,STA,OK
20260709_064650,1,25,5000,2026-07-09 06:46:55,WIFI,2,5,-35.8,-41.4,STA,OK
20260709_064650,1,26,5200,2026-07-09 06:46:55.200000,WIFI,2,5,-37.6,-38.8,STA,OK
20260709_064650,1,27,5400,2026-07-09 06:46:55.400000,WIFI,2,5,-33.6,-38.4,STA,OK
20260709_064650,1,28,5600,2026-07-09 06:46:55.600000,WIFI,2,5,-34.7,-38.5,STA,OK
20260709_064650,1,29,5800,2026-07-09 06:46:55.800000,WIFI,2,5,-39.4,-42.0,STA,OK
20260709_064650,1,30,6000,2026-07-09 06:46:56,WIFI,2,5,-36.3,-43.3,STA,OK
20260709_064650,1,31,6200,2026-07-09 06:46:56.200000,WIFI,2,5,-34.9,-42.3,STA,OK
20260709_064650,1,32,6400,2026-07-09 06:46:56.400000,WIFI,2,5,-35.1,-41.1,STA,OK
20260709_064650,1,33,6600,2026-07-09 06:46:56.600000,WIFI,2,5,-34.9,-41.4,STA,OK
20260709_064650,1,34,6800,2026-07-09 06:46:56.800000,WIFI,2,5,-40.7,-43.2,STA,OK
20260709_064650,1,35,7000,2026-07-09 06:46:57,WIFI,2,5,-36.1,-38.5,STA,OK
20260709_064650,1,36,7200,2026-07-09 06:46:57.200000,WIFI,2,5,-40.4,-37.6,STA,OK
20260709_064650,1,37,7400,2026-07-09 06:46:57.400000,WIFI,2,5,-38.5,-38.2,STA,OK
20260709_064650,1,38,7600,2026-07-09 06:46:57.600000,WIFI,2,5,-38.7,-35.7,STA,OK
20260709_064650,1,39,7800,2026-07-09 06:46:57.800000,WIFI,2,5,-39.3,-39.8,STA,OK
20260709_064650,1,40,8000,2026-07-09 06:46:58,WIFI,2,5,-39.0,-41.0,STA,OK
20260709_064650,1,41,8200,2026-07-09 06:46:58.200000,WIFI,2,5,-33.6,-38.2,STA,OK
20260709_064650,1,42,8400,2026-07-09 06:46:58.400000,WIFI,2,5,-38.1,-34.6,STA,OK
20260709_064650,1,43,8600,2026-07-09 06:46:58.600000,WIFI,2,5,-32.7,-35.5,STA,OK
20260709_064650,1,44,8800,2026-07-09 06:46:58.800000,WIFI,2,5,-31.4,-35.4,STA,OK
20260709_064650,1,45,9000,2026-07-09 06:46:59,WIFI,2,5,-35.4,-36.5,STA,OK
20260709_064650,1,46,9200,2026-07-09 06:46:59.200000,WIFI,2,5,-35.9,-35.1,STA,OK
20260709_064650,1,47,9400,2026-07-09 06:46:59.400000,WIFI,2,5,-35.3,-37.9,STA,OK
